# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-01 18:25:10 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04170500 HURON RIVER NEAR NEW HUDSON, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04170500
#            TS   parameter     statistic     Description
#         71272       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd,site_no,datetime,71272_00060_00003,71272_00060_00003_cd
USGS,04170500,1990-02-17,167,A
USGS,04170500,1990-02-18,161,A
USGS,04170500,1990-02-19,157,A
USGS,04170500,1990-02-20,151,A
USGS,04170500,1990-02-21,147,A
USGS,04170500,1990-02-22,167,A
USGS,04170500,1990-02-23,209,A
USGS,04170500,1990-02-24,232,A
USGS,04170500,1990-02-25,240,A
USGS,04170500,1990-02-26,243,A
USGS,04170500,1990-02-27,231,A
USGS,04170500,1990-02-28,217,A
USGS,04170500,1990-03-01,206,A
USGS,04170500,1990-03-02,199,A
USGS,04170500,1990-03-03,196,A
USGS,04170500,1990-03-04,191,A
USGS,04170500,1990-03-05,189,A
USGS,04170500,1990-03-06,182,A
USGS,04170500,1990-03-07,174,A
USGS,04170500,1990-03-08,170,A
USGS,04170500,1990-03-09,181,A
USGS,04170500,1990-03-10,201,A
USGS,04170500,1990-03-11,226,A
USGS,04170500,1990-03-12,251,A
USGS,04170500,1990-03-13,278,A
USGS,04170500,1990-03-14,295,A
USGS,04170500,1990-03-15,295,A
USGS,04170500,1990-03-16,298,A
USGS,04170500,1990-03-17,286,A
USGS,04170500,1990-03-18,279,A
USGS,04170500,1990-03-19,272,A
USGS,04170500,1990-03-20,256,A
USGS,04170500,1990-03-21,243,A
USGS,04170500,1990-03-22,239,A
USGS,04170500,1990-03-23,247,A
USGS,04170500,1990-03-24,246,A
USGS,04170500,1990-03-25,239,A
USGS,04170500,1990-03-26,177,A
USGS,04170500,1990-03-27,130,A
USGS,04170500,1990-03-28,161,A
USGS,04170500,1990-03-29,178,A
USGS,04170500,1990-03-30,192,A
USGS,04170500,1990-03-31,198,A
USGS,04170500,1990-04-01,207,A
USGS,04170500,1990-04-02,110,A
USGS,04170500,1990-04-03,124,A
USGS,04170500,1990-04-04,162,A
USGS,04170500,1990-04-05,182,A
USGS,04170500,1990-04-06,140,A
USGS,04170500,1990-04-07,129,A
USGS,04170500,1990-04-08,158,A
USGS,04170500,1990-04-09,112,A
USGS,04170500,1990-04-10,120,A
USGS,04170500,1990-04-11,173,A
USGS,04170500,1990-04-12,200,A
USGS,04170500,1990-04-13,211,A
USGS,04170500,1990-04-14,217,A
USGS,04170500,1990-04-15,213,A
USGS,04170500,1990-04-16,116,A
USGS,04170500,1990-04-17,99.0,A
USGS,04170500,1990-04-18,142,A
USGS,04170500,1990-04-19,162,A
USGS,04170500,1990-04-20,180,A
USGS,04170500,1990-04-21,203,A
USGS,04170500,1990-04-22,204,A
USGS,04170500,1990-04-23,202,A
USGS,04170500,1990-04-24,193,A
USGS,04170500,1990-04-25,188,A
USGS,04170500,1990-04-26,186,A
USGS,04170500,1990-04-27,181,A
USGS,04170500,1990-04-28,174,A
USGS,04170500,1990-04-29,170,A
USGS,04170500,1990-04-30,167,A
USGS,04170500,1990-05-01,160,A
USGS,04170500,1990-05-02,158,A
USGS,04170500,1990-05-03,154,A
USGS,04170500,1990-05-04,162,A
USGS,04170500,1990-05-05,167,A
USGS,04170500,1990-05-06,161,A
USGS,04170500,1990-05-07,153,A
USGS,04170500,1990-05-08,147,A
USGS,04170500,1990-05-09,144,A
USGS,04170500,1990-05-10,132,A
USGS,04170500,1990-05-11,137,A
USGS,04170500,1990-05-12,134,A
USGS,04170500,1990-05-13,138,A
USGS,04170500,1990-05-14,131,A
USGS,04170500,1990-05-15,133,A
USGS,04170500,1990-05-16,135,A
USGS,04170500,1990-05-17,157,A
USGS,04170500,1990-05-18,175,A
USGS,04170500,1990-05-19,189,A
USGS,04170500,1990-05-20,197,A
USGS,04170500,1990-05-21,203,A
USGS,04170500,1990-05-22,195,A
USGS,04170500,1990-05-23,188,A
USGS,04170500,1990-05-24,182,A
USGS,04170500,1990-05-25,173,A
USGS,04170500,1990-05-26,169,A
USGS,04170500,1990-05-27,162,A
USGS,04170500,1990-05-28,159,A
USGS,04170500,1990-05-29,153,A
USGS,04170500,1990-05-30,143,A
USGS,04170500,1990-05-31,137,A
USGS,04170500,1990-06-01,135,A
USGS,04170500,1990-06-02,126,A
USGS,04170500,1990-06-03,123,A
USGS,04170500,1990-06-04,126,A
USGS,04170500,1990-06-05,116,A
USGS,04170500,1990-06-06,110,A
USGS,04170500,1990-06-07,110,A
USGS,04170500,1990-06-08,118,A
USGS,04170500,1990-06-09,120,A
USGS,04170500,1990-06-10,123,A
USGS,04170500,1990-06-11,123,A
USGS,04170500,1990-06-12,118,A
USGS,04170500,1990-06-13,114,A
USGS,04170500,1990-06-14,124,A
USGS,04170500,1990-06-15,131,A
USGS,04170500,1990-06-16,124,A
USGS,04170500,1990-06-17,112,A
USGS,04170500,1990-06-18,101,A
USGS,04170500,1990-06-19,94.0,A
USGS,04170500,1990-06-20,90.0,A
USGS,04170500,1990-06-21,90.0,A
USGS,04170500,1990-06-22,92.0,A
USGS,04170500,1990-06-23,103,A
USGS,04170500,1990-06-24,109,A
USGS,04170500,1990-06-25,106,A
USGS,04170500,1990-06-26,98.0,A
USGS,04170500,1990-06-27,96.0,A
USGS,04170500,1990-06-28,98.0,A
USGS,04170500,1990-06-29,100,A
USGS,04170500,1990-06-30,105,A
USGS,04170500,1990-07-01,110,A
USGS,04170500,1990-07-02,105,A
USGS,04170500,1990-07-03,52.0,A
USGS,04170500,1990-07-04,11.0,A
USGS,04170500,1990-07-05,15.0,A
USGS,04170500,1990-07-06,26.0,A
USGS,04170500,1990-07-07,36.0,A
USGS,04170500,1990-07-08,42.0,A
USGS,04170500,1990-07-09,48.0,A
USGS,04170500,1990-07-10,49.0,A
USGS,04170500,1990-07-11,51.0,A
USGS,04170500,1990-07-12,53.0,A
USGS,04170500,1990-07-13,50.0,A
USGS,04170500,1990-07-14,50.0,A
USGS,04170500,1990-07-15,52.0,A
USGS,04170500,1990-07-16,51.0,A
USGS,04170500,1990-07-17,50.0,A
USGS,04170500,1990-07-18,49.0,A
USGS,04170500,1990-07-19,48.0,A
USGS,04170500,1990-07-20,50.0,A
USGS,04170500,1990-07-21,51.0,A
USGS,04170500,1990-07-22,51.0,A
USGS,04170500,1990-07-23,50.0,A
USGS,04170500,1990-07-24,49.0,A
USGS,04170500,1990-07-25,47.0,A
USGS,04170500,1990-07-26,44.0,A
USGS,04170500,1990-07-27,41.0,A
USGS,04170500,1990-07-28,38.0,A
USGS,04170500,1990-07-29,36.0,A
USGS,04170500,1990-07-30,40.0,A
USGS,04170500,1990-07-31,41.0,A
USGS,04170500,1990-08-01,40.0,A
USGS,04170500,1990-08-02,39.0,A
USGS,04170500,1990-08-03,38.0,A
USGS,04170500,1990-08-04,41.0,A
USGS,04170500,1990-08-05,48.0,A
USGS,04170500,1990-08-06,45.0,A
USGS,04170500,1990-08-07,44.0,A
USGS,04170500,1990-08-08,43.0,A
USGS,04170500,1990-08-09,42.0,A
USGS,04170500,1990-08-10,40.0,A
USGS,04170500,1990-08-11,33.0,A
USGS,04170500,1990-08-12,35.0,A
USGS,04170500,1990-08-13,60.0,A
USGS,04170500,1990-08-14,60.0,A
USGS,04170500,1990-08-15,55.0,A
USGS,04170500,1990-08-16,50.0,A
USGS,04170500,1990-08-17,45.0,A
USGS,04170500,1990-08-18,42.0,A
USGS,04170500,1990-08-19,75.0,A
USGS,04170500,1990-08-20,86.0,A
USGS,04170500,1990-08-21,88.0,A
USGS,04170500,1990-08-22,90.0,A
USGS,04170500,1990-08-23,84.0,A
USGS,04170500,1990-08-24,78.0,A
USGS,04170500,1990-08-25,72.0,A
USGS,04170500,1990-08-26,64.0,A
USGS,04170500,1990-08-27,60.0,A
USGS,04170500,1990-08-28,57.0,A
USGS,04170500,1990-08-29,53.0,A
USGS,04170500,1990-08-30,50.0,A
USGS,04170500,1990-08-31,49.0,A
USGS,04170500,1990-09-01,49.0,A
USGS,04170500,1990-09-02,48.0,A
USGS,04170500,1990-09-03,45.0,A
USGS,04170500,1990-09-04,42.0,A
USGS,04170500,1990-09-05,40.0,A
USGS,04170500,1990-09-06,50.0,A
USGS,04170500,1990-09-07,151,A
USGS,04170500,1990-09-08,157,A
USGS,04170500,1990-09-09,154,A
USGS,04170500,1990-09-10,146,A
USGS,04170500,1990-09-11,132,A
USGS,04170500,1990-09-12,111,A
USGS,04170500,1990-09-13,95.0,A
USGS,04170500,1990-09-14,90.0,A
USGS,04170500,1990-09-15,102,A
USGS,04170500,1990-09-16,114,A
USGS,04170500,1990-09-17,106,A
USGS,04170500,1990-09-18,105,A
USGS,04170500,1990-09-19,110,A
USGS,04170500,1990-09-20,120,A
USGS,04170500,1990-09-21,125,A
USGS,04170500,1990-09-22,130,A
USGS,04170500,1990-09-23,125,A
USGS,04170500,1990-09-24,120,A
USGS,04170500,1990-09-25,115,A
USGS,04170500,1990-09-26,110,A
USGS,04170500,1990-09-27,108,A
USGS,04170500,1990-09-28,107,A
USGS,04170500,1990-09-29,106,A
USGS,04170500,1990-09-30,105,A
USGS,04170500,1990-10-01,97.0,A
USGS,04170500,1990-10-02,91.0,A
USGS,04170500,1990-10-03,86.0,A
USGS,04170500,1990-10-04,152,A
USGS,04170500,1990-10-05,158,A
USGS,04170500,1990-10-06,155,A
USGS,04170500,1990-10-07,157,A
USGS,04170500,1990-10-08,158,A
USGS,04170500,1990-10-09,203,A
USGS,04170500,1990-10-10,256,A
USGS,04170500,1990-10-11,285,A
USGS,04170500,1990-10-12,297,A
USGS,04170500,1990-10-13,295,A
USGS,04170500,1990-10-14,281,A
USGS,04170500,1990-10-15,262,A
USGS,04170500,1990-10-16,244,A
USGS,04170500,1990-10-17,226,A
USGS,04170500,1990-10-18,221,A
USGS,04170500,1990-10-19,218,A
USGS,04170500,1990-10-20,209,A
USGS,04170500,1990-10-21,206,A
USGS,04170500,1990-10-22,298,A
USGS,04170500,1990-10-23,318,A
USGS,04170500,1990-10-24,230,A
USGS,04170500,1990-10-25,191,A
USGS,04170500,1990-10-26,169,A
USGS,04170500,1990-10-27,153,A
USGS,04170500,1990-10-28,147,A
USGS,04170500,1990-10-29,265,A
USGS,04170500,1990-10-30,321,A
USGS,04170500,1990-10-31,262,A
USGS,04170500,1990-11-01,224,A
USGS,04170500,1990-11-02,177,A
USGS,04170500,1990-11-03,159,A
USGS,04170500,1990-11-04,153,A
USGS,04170500,1990-11-05,181,A
USGS,04170500,1990-11-06,214,A
USGS,04170500,1990-11-07,277,A
USGS,04170500,1990-11-08,284,A
USGS,04170500,1990-11-09,245,A
USGS,04170500,1990-11-10,221,A
USGS,04170500,1990-11-11,201,A
USGS,04170500,1990-11-12,192,A
USGS,04170500,1990-11-13,209,A
USGS,04170500,1990-11-14,245,A
USGS,04170500,1990-11-15,261,A
USGS,04170500,1990-11-16,255,A
USGS,04170500,1990-11-17,234,A
USGS,04170500,1990-11-18,204,A
USGS,04170500,1990-11-19,199,A
USGS,04170500,1990-11-20,194,A
USGS,04170500,1990-11-21,184,A
USGS,04170500,1990-11-22,184,A
USGS,04170500,1990-11-23,181,A
USGS,04170500,1990-11-24,181,A
USGS,04170500,1990-11-25,179,A
USGS,04170500,1990-11-26,178,A
USGS,04170500,1990-11-27,181,A
USGS,04170500,1990-11-28,193,A
USGS,04170500,1990-11-29,204,A
USGS,04170500,1990-11-30,204,A
USGS,04170500,1990-12-01,202,A
USGS,04170500,1990-12-02,201,A
USGS,04170500,1990-12-03,208,A
USGS,04170500,1990-12-04,204,A
USGS,04170500,1990-12-05,205,A
USGS,04170500,1990-12-06,207,A
USGS,04170500,1990-12-07,203,A
USGS,04170500,1990-12-08,200,A
USGS,04170500,1990-12-09,196,A
USGS,04170500,1990-12-10,194,A
USGS,04170500,1990-12-11,192,A
USGS,04170500,1990-12-12,188,A
USGS,04170500,1990-12-13,187,A
USGS,04170500,1990-12-14,185,A
USGS,04170500,1990-12-15,183,A
USGS,04170500,1990-12-16,180,A
USGS,04170500,1990-12-17,178,A
USGS,04170500,1990-12-18,177,A
USGS,04170500,1990-12-19,177,A
USGS,04170500,1990-12-20,174,A
USGS,04170500,1990-12-21,175,A
USGS,04170500,1990-12-22,180,A
USGS,04170500,1990-12-23,191,A
USGS,04170500,1990-12-24,187,A
USGS,04170500,1990-12-25,187,A
USGS,04170500,1990-12-26,181,A
USGS,04170500,1990-12-27,176,A
USGS,04170500,1990-12-28,173,A
USGS,04170500,1990-12-29,200,A
USGS,04170500,1990-12-30,245,A
USGS,04170500,1990-12-31,267,A
USGS,04170500,1991-01-01,273,A
USGS,04170500,1991-01-02,260,A
USGS,04170500,1991-01-03,242,A
USGS,04170500,1991-01-04,228,A
USGS,04170500,1991-01-05,218,A
USGS,04170500,1991-01-06,210,A
USGS,04170500,1991-01-07,203,A
USGS,04170500,1991-01-08,197,A
USGS,04170500,1991-01-09,193,A
USGS,04170500,1991-01-10,189,A
USGS,04170500,1991-01-11,189,A
USGS,04170500,1991-01-12,191,A
USGS,04170500,1991-01-13,187,A
USGS,04170500,1991-01-14,182,A
USGS,04170500,1991-01-15,178,A
USGS,04170500,1991-01-16,181,A
USGS,04170500,1991-01-17,186,A
USGS,04170500,1991-01-18,188,A
USGS,04170500,1991-01-19,185,A
USGS,04170500,1991-01-20,186,A
USGS,04170500,1991-01-21,182,A
USGS,04170500,1991-01-22,177,A
USGS,04170500,1991-01-23,173,A
USGS,04170500,1991-01-24,198,A
USGS,04170500,1991-01-25,211,A
USGS,04170500,1991-01-26,191,A
USGS,04170500,1991-01-27,177,A
USGS,04170500,1991-01-28,163,A
USGS,04170500,1991-01-29,169,A
USGS,04170500,1991-01-30,181,A
USGS,04170500,1991-01-31,170,A
USGS,04170500,1991-02-01,162,A
USGS,04170500,1991-02-02,157,A
USGS,04170500,1991-02-03,156,A
USGS,04170500,1991-02-04,157,A
USGS,04170500,1991-02-05,161,A
USGS,04170500,1991-02-06,166,A
USGS,04170500,1991-02-07,121,A
USGS,04170500,1991-02-08,120,A
USGS,04170500,1991-02-09,145,A
USGS,04170500,1991-02-10,157,A
USGS,04170500,1991-02-11,160,A
USGS,04170500,1991-02-12,158,A
USGS,04170500,1991-02-13,156,A
USGS,04170500,1991-02-14,158,A
USGS,04170500,1991-02-15,156,A
USGS,04170500,1991-02-16,152,A
USGS,04170500,1991-02-17,152,A
USGS,04170500,1991-02-18,150,A
USGS,04170500,1991-02-19,156,A
USGS,04170500,1991-02-20,164,A
USGS,04170500,1991-02-21,171,A
USGS,04170500,1991-02-22,177,A
USGS,04170500,1991-02-23,178,A
USGS,04170500,1991-02-24,175,A
USGS,04170500,1991-02-25,170,A
USGS,04170500,1991-02-26,166,A
USGS,04170500,1991-02-27,161,A
USGS,04170500,1991-02-28,156,A
USGS,04170500,1991-03-01,152,A
USGS,04170500,1991-03-02,164,A
USGS,04170500,1991-03-03,183,A
USGS,04170500,1991-03-04,189,A
USGS,04170500,1991-03-05,176,A
USGS,04170500,1991-03-06,172,A
USGS,04170500,1991-03-07,180,A
USGS,04170500,1991-03-08,180,A
USGS,04170500,1991-03-09,177,A
USGS,04170500,1991-03-10,174,A
USGS,04170500,1991-03-11,171,A
USGS,04170500,1991-03-12,168,A
USGS,04170500,1991-03-13,165,A
USGS,04170500,1991-03-14,158,A
USGS,04170500,1991-03-15,152,A
USGS,04170500,1991-03-16,150,A
USGS,04170500,1991-03-17,150,A
USGS,04170500,1991-03-18,144,A
USGS,04170500,1991-03-19,141,A
USGS,04170500,1991-03-20,130,A
USGS,04170500,1991-03-21,122,A
USGS,04170500,1991-03-22,140,A
USGS,04170500,1991-03-23,138,A
USGS,04170500,1991-03-24,148,A
USGS,04170500,1991-03-25,76.0,A
USGS,04170500,1991-03-26,46.0,A
USGS,04170500,1991-03-27,83.0,A
USGS,04170500,1991-03-28,116,A
USGS,04170500,1991-03-29,150,A
USGS,04170500,1991-03-30,152,A
USGS,04170500,1991-03-31,147,A
USGS,04170500,1991-04-01,146,A
USGS,04170500,1991-04-02,102,A
USGS,04170500,1991-04-03,64.0,A
USGS,04170500,1991-04-04,88.0,A
USGS,04170500,1991-04-05,108,A
USGS,04170500,1991-04-06,114,A
USGS,04170500,1991-04-07,119,A
USGS,04170500,1991-04-08,123,A
USGS,04170500,1991-04-09,73.0,A
USGS,04170500,1991-04-10,61.0,A
USGS,04170500,1991-04-11,101,A
USGS,04170500,1991-04-12,117,A
USGS,04170500,1991-04-13,122,A
USGS,04170500,1991-04-14,127,A
USGS,04170500,1991-04-15,136,A
USGS,04170500,1991-04-16,95.0,A
USGS,04170500,1991-04-17,90.0,A
USGS,04170500,1991-04-18,119,A
USGS,04170500,1991-04-19,139,A
USGS,04170500,1991-04-20,169,A
USGS,04170500,1991-04-21,181,A
USGS,04170500,1991-04-22,105,A
USGS,04170500,1991-04-23,98.0,A
USGS,04170500,1991-04-24,151,A
USGS,04170500,1991-04-25,169,A
USGS,04170500,1991-04-26,174,A
USGS,04170500,1991-04-27,172,A
USGS,04170500,1991-04-28,172,A
USGS,04170500,1991-04-29,169,A
USGS,04170500,1991-04-30,162,A
USGS,04170500,1991-05-01,166,A
USGS,04170500,1991-05-02,164,A
USGS,04170500,1991-05-03,167,A
USGS,04170500,1991-05-04,158,A
USGS,04170500,1991-05-05,151,A
USGS,04170500,1991-05-06,155,A
USGS,04170500,1991-05-07,157,A
USGS,04170500,1991-05-08,160,A
USGS,04170500,1991-05-09,157,A
USGS,04170500,1991-05-10,153,A
USGS,04170500,1991-05-11,143,A
USGS,04170500,1991-05-12,140,A
USGS,04170500,1991-05-13,140,A
USGS,04170500,1991-05-14,140,A
USGS,04170500,1991-05-15,134,A
USGS,04170500,1991-05-16,127,A
USGS,04170500,1991-05-17,133,A
USGS,04170500,1991-05-18,123,A
USGS,04170500,1991-05-19,113,A
USGS,04170500,1991-05-20,102,A
USGS,04170500,1991-05-21,94.0,A
USGS,04170500,1991-05-22,86.0,A
USGS,04170500,1991-05-23,83.0,A
USGS,04170500,1991-05-24,91.0,A
USGS,04170500,1991-05-25,122,A
USGS,04170500,1991-05-26,144,A
USGS,04170500,1991-05-27,149,A
USGS,04170500,1991-05-28,151,A
USGS,04170500,1991-05-29,151,A
USGS,04170500,1991-05-30,145,A
USGS,04170500,1991-05-31,141,A
USGS,04170500,1991-06-01,160,A
USGS,04170500,1991-06-02,154,A
USGS,04170500,1991-06-03,150,A
USGS,04170500,1991-06-04,137,A
USGS,04170500,1991-06-05,126,A
USGS,04170500,1991-06-06,118,A
USGS,04170500,1991-06-07,111,A
USGS,04170500,1991-06-08,108,A
USGS,04170500,1991-06-09,100,A
USGS,04170500,1991-06-10,94.0,A
USGS,04170500,1991-06-11,108,A
USGS,04170500,1991-06-12,117,A
USGS,04170500,1991-06-13,109,A
USGS,04170500,1991-06-14,97.0,A
USGS,04170500,1991-06-15,90.0,A
USGS,04170500,1991-06-16,94.0,A
USGS,04170500,1991-06-17,87.0,A
USGS,04170500,1991-06-18,78.0,A
USGS,04170500,1991-06-19,67.0,A
USGS,04170500,1991-06-20,60.0,A
USGS,04170500,1991-06-21,56.0,A
USGS,04170500,1991-06-22,55.0,A
USGS,04170500,1991-06-23,65.0,A
USGS,04170500,1991-06-24,62.0,A
USGS,04170500,1991-06-25,63.0,A
USGS,04170500,1991-06-26,60.0,A
USGS,04170500,1991-06-27,58.0,A
USGS,04170500,1991-06-28,58.0,A
USGS,04170500,1991-06-29,57.0,A
USGS,04170500,1991-06-30,59.0,A
USGS,04170500,1991-07-01,48.0,A
USGS,04170500,1991-07-02,46.0,A
USGS,04170500,1991-07-03,42.0,A
USGS,04170500,1991-07-04,39.0,A
USGS,04170500,1991-07-05,34.0,A
USGS,04170500,1991-07-06,33.0,A
USGS,04170500,1991-07-07,65.0,A
USGS,04170500,1991-07-08,88.0,A
USGS,04170500,1991-07-09,81.0,A
USGS,04170500,1991-07-10,72.0,A
USGS,04170500,1991-07-11,67.0,A
USGS,04170500,1991-07-12,60.0,A
USGS,04170500,1991-07-13,61.0,A
USGS,04170500,1991-07-14,58.0,A
USGS,04170500,1991-07-15,54.0,A
USGS,04170500,1991-07-16,50.0,A
USGS,04170500,1991-07-17,45.0,A
USGS,04170500,1991-07-18,44.0,A
USGS,04170500,1991-07-19,42.0,A
USGS,04170500,1991-07-20,39.0,A
USGS,04170500,1991-07-21,38.0,A
USGS,04170500,1991-07-22,41.0,A
USGS,04170500,1991-07-23,43.0,A
USGS,04170500,1991-07-24,35.0,A
USGS,04170500,1991-07-25,32.0,A
USGS,04170500,1991-07-26,29.0,A
USGS,04170500,1991-07-27,28.0,A
USGS,04170500,1991-07-28,27.0,A
USGS,04170500,1991-07-29,29.0,A
USGS,04170500,1991-07-30,36.0,A
USGS,04170500,1991-07-31,38.0,A
USGS,04170500,1991-08-01,40.0,A
USGS,04170500,1991-08-02,39.0,A
USGS,04170500,1991-08-03,42.0,A
USGS,04170500,1991-08-04,41.0,A
USGS,04170500,1991-08-05,40.0,A
USGS,04170500,1991-08-06,39.0,A
USGS,04170500,1991-08-07,37.0,A
USGS,04170500,1991-08-08,49.0,A
USGS,04170500,1991-08-09,76.0,A
USGS,04170500,1991-08-10,76.0,A
USGS,04170500,1991-08-11,69.0,A
USGS,04170500,1991-08-12,61.0,A
USGS,04170500,1991-08-13,58.0,A
USGS,04170500,1991-08-14,54.0,A
USGS,04170500,1991-08-15,50.0,A
USGS,04170500,1991-08-16,48.0,A
USGS,04170500,1991-08-17,52.0,A
USGS,04170500,1991-08-18,65.0,A
USGS,04170500,1991-08-19,83.0,A
USGS,04170500,1991-08-20,101,A
USGS,04170500,1991-08-21,102,A
USGS,04170500,1991-08-22,99.0,A
USGS,04170500,1991-08-23,91.0,A
USGS,04170500,1991-08-24,79.0,A
USGS,04170500,1991-08-25,70.0,A
USGS,04170500,1991-08-26,61.0,A
USGS,04170500,1991-08-27,57.0,A
USGS,04170500,1991-08-28,56.0,A
USGS,04170500,1991-08-29,55.0,A
USGS,04170500,1991-08-30,57.0,A
USGS,04170500,1991-08-31,63.0,A
USGS,04170500,1991-09-01,59.0,A
USGS,04170500,1991-09-02,55.0,A
USGS,04170500,1991-09-03,54.0,A
USGS,04170500,1991-09-04,67.0,A
USGS,04170500,1991-09-05,65.0,A
USGS,04170500,1991-09-06,64.0,A
USGS,04170500,1991-09-07,60.0,A
USGS,04170500,1991-09-08,61.0,A
USGS,04170500,1991-09-09,59.0,A
USGS,04170500,1991-09-10,60.0,A
USGS,04170500,1991-09-11,57.0,A
USGS,04170500,1991-09-12,53.0,A
USGS,04170500,1991-09-13,52.0,A
USGS,04170500,1991-09-14,52.0,A
USGS,04170500,1991-09-15,51.0,A
USGS,04170500,1991-09-16,49.0,A
USGS,04170500,1991-09-17,49.0,A
USGS,04170500,1991-09-18,47.0,A
USGS,04170500,1991-09-19,44.0,A
USGS,04170500,1991-09-20,42.0,A
USGS,04170500,1991-09-21,43.0,A
USGS,04170500,1991-09-22,44.0,A
USGS,04170500,1991-09-23,47.0,A
USGS,04170500,1991-09-24,49.0,A
USGS,04170500,1991-09-25,51.0,A
USGS,04170500,1991-09-26,56.0,A
USGS,04170500,1991-09-27,56.0,A
USGS,04170500,1991-09-28,56.0,A
USGS,04170500,1991-09-29,58.0,A
USGS,04170500,1991-09-30,54.0,A
USGS,04170500,1991-10-01,53.0,A
USGS,04170500,1991-10-02,54.0,A
USGS,04170500,1991-10-03,97.0,A
USGS,04170500,1991-10-04,115,A
USGS,04170500,1991-10-05,112,A
USGS,04170500,1991-10-06,107,A
USGS,04170500,1991-10-07,97.0,A
USGS,04170500,1991-10-08,83.0,A
USGS,04170500,1991-10-09,78.0,A
USGS,04170500,1991-10-10,76.0,A
USGS,04170500,1991-10-11,73.0,A
USGS,04170500,1991-10-12,71.0,A
USGS,04170500,1991-10-13,65.0,A
USGS,04170500,1991-10-14,62.0,A
USGS,04170500,1991-10-15,62.0,A
USGS,04170500,1991-10-16,61.0,A
USGS,04170500,1991-10-17,59.0,A
USGS,04170500,1991-10-18,61.0,A
USGS,04170500,1991-10-19,66.0,A
USGS,04170500,1991-10-20,65.0,A
